"Vial_no","Glass_weight_g","Filles_with_water","Water_Weight","Zinc_Chloride","Wetland","Location","Time","Date","Rep","Exsist","Sample_Collected","Sample","CH4.ppm.NOT.CORRECTED","N20.ppm.NOT.CORRECTED","Sample.ID","Date.headspace.introduced","Time.headspace.introduced","Notes1","Extract.Headspace.Date","Extract.Headspace.time","headspace_ml","Time_Baro","AirPress_kpa","AirTemp_C"
227,69.25,140.45,71.2,NA,8,1,"15:22",2022-10-16,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
228,69.22,140.41,71.19,0.3866,3,1,"12:36",2022-07-25,"C","YES","",228,5.1521,0.26074408,"228","7/29/22","20:34","","7/30/22","23:41",15,"12:04",61.81431,11.20151
232,70.09,140.5,70.41,0.372,3,2,"12:44",2022-07-25,"C","YES","",232,4.7257,0.284752871,"232","7/29/22","20:39","","7/30/22","23:44",15,"12:04",61.81431,11.20151
233,69.35,140.52,71.17,NA,8,1,"15:24",2022-10-16,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
234,70.12,140.56,70.44,0.3719,11,1,"11:06",2022-07-19,"B","YES","YES",234,17.1595,0.236817735,"234","7/29/22","15:33","","7/30/22","19:43",15,"11:01",62.74875,10.48571
237,69.93,140.46,70.53,NA,12,1,"12:38",2022-10-16,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
239,68.04,139.47,71.43,NA,4,1,"9:07",2022-10-16,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
241,69.39,140.71,71.32,NA,11,1,"13:20",2022-10-15,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
242,69.69,140.21,70.52,0.3779,2,3,"12:10",2022-07-14,"B","YES","YES",242,2.5729,0.207523405,"242","7/29/22","14:02","pulled out .01ml more h2o than shoud have","7/30/22","19:27",16,"11:32",61.92754,7.014243
243,70.2,141.04,70.84,NA,11,1,"13:23",2022-10-15,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
244,69.3,140.34,71.04,0.359,8,1,"10:05",2022-07-18,"C","YES","YES",244,48.8143,0.250299105,"244","7/29/22","13:44","","7/30/22","19:14",15,"10:08",63.78435,8.677213
247,70.28,141.18,70.9,0.3759,10,1,"11:16",2022-07-18,"C","YES","YES",247,720.7015,0.132396935,"247","7/29/22","13:57","","7/30/22","19:21",15,"10:53",63.77594,9.472281
251,68.95,140.32,71.37,NA,8,2,"15:27",2022-10-16,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
253,70,141.22,71.22,NA,6,2,"11:45",2022-10-15,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
254,69.09,140.46,71.37,0.3759,7,1,"11:44",2022-07-19,"C","YES","YES",254,23.9395,0.273531457,"254","7/29/22","13:58","","7/30/22","19:07",15,"11:38",62.74971,10.54945
255,69.15,140.34,71.19,0.378,10,2,"11:09",2022-07-18,"C","YES","YES",255,540.4291,0.147231069,"255","7/29/22","12:46","","7/30/22","19:03",15,"10:53",63.77594,9.472281
260,69.29,140.63,71.34,NA,7,2,"12:46",2022-10-15,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
261,69.41,140.42,71.01,NA,4,1,"9:03",2022-10-16,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
263,69.4,140.53,71.13,0.3713,7,2,"11:55",2022-07-19,"C","YES","YES",263,6.2038,0.254728391,"263","7/29/22","12:36","","7/30/22","18:51",15,"11:38",62.74971,10.54945
267,69.41,140.77,71.36,0.3694,2,2,"11:50",2022-07-14,"B","YES","YES",267,2.4221,0.233556659,"267","7/29/22","12:29","","7/30/22","18:57",15,"11:32",61.92754,7.014243
270,69.54,140.9,71.36,0.3865,3,1,"12:34",2022-07-25,"C","YES","",270,4.6893,0.225568269,"270","7/29/22","20:48","","7/30/22","23:54",15,"12:04",61.81431,11.20151
277,70.12,140.57,70.45,0.3763,8,3,"10:14",2022-07-18,"C","YES","YES",277,72.4891,0.251986119,"277","7/29/22","11:41","definatly messed this one up when putting in N2 and taking out water","7/30/22","18:37",15,"10:08",63.78435,8.677213
278,70.09,140.81,70.72,0.3517,8,2,"10:10",2022-07-18,"C","YES","YES",278,86.4691,0.274906701,"278","7/29/22","11:34","","7/30/22","18:30",15,"10:08",63.78435,8.677213
279,70.01,140.74,70.73,0.3596,9,2,"9:39",2022-07-18,"C","YES","YES",279,675.6823,0.165220993,"279","7/29/22","20:28","","7/30/22","23:38",15,"9:27",63.80909,11.34625
289,68.78,140.17,71.39,0.3772,5,1,"11:28",2022-07-27,"C","YES","",289,94.2415,0.243976449,"289","7/30/22","3:29","","7/31/22","6:14",15,"11:18",62.87624,9.110594
290,69.14,140.3,71.16,NA,12,2,"13:01",2022-10-16,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
291,68.71,140,71.29,0.3861,5,3,"11:49",2022-07-27,"C","YES","",291,93.0703,0.229456199,"291","7/30/22","3:33","","7/31/22","6:16",15,"11:18",62.87624,9.110594
293,69.13,140.31,71.18,0.3736,5,2,"11:34",2022-07-27,"C","YES","",293,121.9675,0.279457511,"293","7/30/22","3:37","","7/31/22","6:19",15,"11:18",62.87624,9.110594
294,68.8,140.17,71.37,0.3826,5,2,"11:32",2022-07-27,"C","YES","",294,121.6711,0.259477187,"294","7/30/22","3:41","","7/31/22","6:21",15,"11:18",62.87624,9.110594
