Reference,Site Name,Location,latitude,longitude,Study Years,area (ha),ch4 (umol/L),co2 (umol/L),temp (C) ,temp (estimate),atm. co2,atm. ch4
Striegl and Michmerhuizen (1998),Shingobee Lake,Minnesota,47,-94.6833,1992-1993,65.51,2.90,66.85,11.00,,357.260,1738.289
Utsumi et al. (1998a),Lake Kasumigaura,Japan,36.0333,140.4,1991-1996,16800,0.30,na,na,16.5,358.867,1744.596
Shirokova et al. 2013,N1,Siberia,63.224317,75.72735,2010,0.02,0.281,132.515,9.7,na,390.052,1.805178
Shirokova et al. 2013,N2,Siberia,63.2227,75.736033,2010,0.0008,1.322,259.112,9.9,na,390.052,1.805178
Shirokova et al. 2013,N3,Siberia,63.220933,75.74155,2010,0.03,2.94,57.122,9.8,na,390.052,1.805178
Shirokova et al. 2013,N4,Siberia,63.221017,75.73195,2010,0.001,4.09,190.578,10.2,na,390.052,1.805178
Shirokova et al. 2013,N5,Siberia,63.019117,75.217533,2010,0.07,0.102,41.296,12,na,390.052,1.805178
Shirokova et al. 2013,N6,Siberia,63.019533,75.21605,2010,0.15,0.18,46.763,14.1,na,390.052,1.805178
Shirokova et al. 2013,N7,Siberia,63.020067,75.214017,2010,1,0.239,40.219,13.2,na,390.052,1.805178
Shirokova et al. 2013,N8,Siberia,63.022517,75.2071,2010,3,0.21,40.012,14.7,na,390.052,1.805178
Shirokova et al. 2013,N13,Siberia,63.764767,77.4659,2010,0.015,0.476,36.693,17.2,na,390.052,1.805178
Shirokova et al. 2013,N14,Siberia,63.7652,77.465967,2010,0.00025,1.678,234.665,16.1,na,390.052,1.805178
Shirokova et al. 2013,N15,Siberia,63.7658,77.4664,2010,0.7,0.094,44.518,17.7,na,390.052,1.805178
Shirokova et al. 2013,N16,Siberia,63.766733,77.467283,2010,1,0.18,41.446,17.7,na,390.052,1.805178
Shirokova et al. 2013,N17,Siberia,63.767533,77.4754,2010,35,0.143,50.165,17.2,na,390.052,1.805178
Shirokova et al. 2013,N18,Siberia,63.7661,77.471633,2010,0.03,0.857,43.85,15.8,na,390.052,1.805178
Shirokova et al. 2013,N23,Siberia,63.2257,75.725683,2010,0.3,0.743,67.175,10.4,na,390.052,1.805178
Shirokova et al. 2013,N24,Siberia,63.223767,75.721417,2010,3,0.145,47.029,12.3,na,390.052,1.805178
Shirokova et al. 2013,N25,Siberia,63.220367,75.719233,2010,9,0.041,35.416,12.8,na,390.052,1.805178
Shirokova et al. 2013,N26,Siberia,63.2185,75.722267,2010,0.05,0.647,35.647,13,na,390.052,1.805178
Shirokova et al. 2013,N28,Siberia,63.78403,75.64882,2010,1,0.03,39.013,14,na,390.052,1.805178
Shirokova et al. 2013,N29,Siberia,63.78275,75.65086,2010,0.75,0.059,36.954,14.7,na,390.052,1.805178
Shirokova et al. 2013,N30,Siberia,63.78219,75.65301,2010,0.05,0.167,73.299,16,na,390.052,1.805178
Shirokova et al. 2013,N31,Siberia,63.78305,75.6541,2010,0.01,0.0191,29.276,15.9,na,390.052,1.805178
Shirokova et al. 2013,N32,Siberia,63.78337,75.65144,2010,0.1,0.605,45.931,17.4,na,390.052,1.805178
Shirokova et al. 2013,N33,Siberia,63.7859,75.648317,2010,2,0.0199,37.415,16.3,na,390.052,1.805178
Shirokova et al. 2013,N38,Siberia,63.328733,75.352117,2010,10,0.312,na,16.6,na,390.052,1.805178
